"scheme","p_z","sigma","rho","alpha","dlogZ","scale","technique","composition","mean_price"
"T0",80,0.034,0.5,4,-0.415285405247647,-0.00118194020229989,-0.302189459675112,-0.111914005370235,1.01211532010415
"T0",100,0.034,0.5,4,-0.489363087940425,-0.00163272129641445,-0.357590404382574,-0.130139962261436,1.01446763361397
"T0",150,0.034,0.5,4,-0.630940842950866,-0.0028291490982193,-0.459746641894875,-0.168365051957773,1.01922768600838
"T0",200,0.034,0.5,4,-0.779603447641953,-0.00423962479045681,-0.572816193055551,-0.202547629795945,1.02376339709094
"T0",250,0.034,0.5,4,-0.898852350688608,-0.0055961646955236,-0.663043933811987,-0.230212252181098,1.02757015245785
"T0",80,0.5,0.5,4,-0.44440370037876,-0.00161291438014555,-0.289049069566942,-0.153741716431672,1.01156415161086
"T0",100,0.5,0.5,4,-0.519529670324349,-0.00217830403400576,-0.341052778668068,-0.176298587622276,1.01373142817935
"T0",150,0.5,0.5,4,-0.664225810479819,-0.00360472119769017,-0.438294905870453,-0.222326183411676,1.01807491190079
"T0",200,0.5,0.5,4,-0.818178448517059,-0.00520932864998613,-0.549633105371179,-0.263336014495893,1.02219182861406
"T0",250,0.5,0.5,4,-0.942069367919205,-0.00673511774064472,-0.638986263968078,-0.296347986210483,1.02559404697133
"T0",80,1,0.5,4,-0.473851825369545,-0.00201293641000966,-0.275515309674375,-0.19632357928516,1.01101634622698
"T0",100,1,0.5,4,-0.549878908376134,-0.00267736194469936,-0.324105051895785,-0.223096494535649,1.01300530432852
"T0",150,1,0.5,4,-0.697432109837402,-0.00429811015886816,-0.416477125748552,-0.276656873929982,1.01695170888719
"T0",200,1,0.5,4,-0.856337799344038,-0.00606410402903723,-0.526069783876221,-0.32420391143878,1.02067146755876
"T0",250,1,0.5,4,-0.984334550442764,-0.00772565361948896,-0.61449580757924,-0.362113089244034,1.0236949864757
"T0",80,4.7,0.5,4,-0.643290308107313,-0.00357194653824688,-0.193772252790045,-0.445946108779021,1.00803385233791
"T0",100,4.7,0.5,4,-0.721128522465494,-0.00449008231130854,-0.224134410265014,-0.492504029889172,1.00916429558614
"T0",150,4.7,0.5,4,-0.878501665703824,-0.00654254033067225,-0.292188592008963,-0.579770533364188,1.01127590886122
"T0",200,4.7,0.5,4,-1.05558744520932,-0.00864333097276138,-0.391944651671001,-0.654999462565554,1.01319077599792
"T0",250,4.7,0.5,4,-1.19381220690474,-0.0105021230716709,-0.4741509093076,-0.709159174525472,1.01458157772556
